"";"CODIND";"NOMINDICADOR";"CATEGORIA";"PESTAÑA";"SEXO";"ASCENDENCIA";"QUINTIL";"DEPARTAMENTOUY";"URBANORURALUY";"EDAD";"POBRE";"NSE";"NIVELEDU";"PAÍS";"ANIO";"VALOR";"RESPONSABLE"
"1";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.179563237526944";"Sharon Katzkowicz"
"2";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.186343855818197";"Sharon Katzkowicz"
"3";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.360974669645119";"Sharon Katzkowicz"
"4";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.122494912064101";"Sharon Katzkowicz"
"5";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0192464631965874";"Sharon Katzkowicz"
"6";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.06324557201057";"Sharon Katzkowicz"
"7";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0380306032163939";"Sharon Katzkowicz"
"8";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0301006865220878";"Sharon Katzkowicz"
"9";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Varones";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.174314427357639";"Sharon Katzkowicz"
"10";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Varones";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.23627232230814";"Sharon Katzkowicz"
"11";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Varones";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.4181926411319";"Sharon Katzkowicz"
"12";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Varones";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0";"Sharon Katzkowicz"
"13";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Varones";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0399063117582119";"Sharon Katzkowicz"
"14";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Varones";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.131314297444109";"Sharon Katzkowicz"
"15";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Varones";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0";"Sharon Katzkowicz"
"16";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Varones";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0";"Sharon Katzkowicz"
